,,,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES
GROWTH CONDITIONS,Please select a climate control option:,Growth chamber & phytotrons (fully-controlled),Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Incompatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
GROWTH CONDITIONS,Please define the growth substrate:,Native soil or reactive artificial soil (e.g. peat mix),Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Incompatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
GROWTH CONDITIONS,Please define the growth substrate:,"""Inert"" artificial soil (ex: perlite, vermiculite)",Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,NA,NA,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Possible but odd,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
GROWTH CONDITIONS,Please define the growth substrate:,Pure sand or glass beads,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,NA,NA,NA,NA,NA,NA,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Incompatible,Incompatible,Possible but odd,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
GROWTH CONDITIONS,Please define the growth substrate:,Gel (ex: agar),Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,NA,NA,NA,NA,NA,NA,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Incompatible,Possible but odd,Possible but odd,Possible but odd,Incompatible,Incompatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
GROWTH CONDITIONS,Please define the growth substrate:,Nutrient solution (hydroponics),Fully compatible,Fully compatible,Fully compatible,Incompatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,NA,NA,NA,NA,NA,NA,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Possible but odd,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
GROWTH CONDITIONS,Please define the growth substrate:,Moist air (aeroponics),Fully compatible,Fully compatible,Fully compatible,Incompatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Incompatible,Incompatible,Incompatible,Fully compatible,NA,NA,NA,NA,NA,NA,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Incompatible,Possible but odd,Fully compatible,Fully compatible,Incompatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Incompatible,Incompatible,Possible but odd,Incompatible,Incompatible,Incompatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
GROWTH CONDITIONS,Have you considered separating the roots from the growth substrate using a permeable mesh membrane?,No separation between roots and growth substrate,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
GROWTH CONDITIONS,Have you considered separating the roots from the growth substrate using a permeable mesh membrane?,Roots are isolated from the growth medium using a mesh membrane,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Incompatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,NA,NA,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
GROWTH CONDITIONS,Do you intend to grow plants in sterile conditions?,Non-sterile conditions,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible
GROWTH CONDITIONS,Do you intend to grow plants in sterile conditions?,Sterile (or monoxenic) conditions,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Incompatible,Incompatible,Incompatible,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,NA,NA,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
GROWTH CONDITIONS,Do you intend to irrigate and/or fertilize the plants?,"No water supply, no nutrient supply",Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Incompatible,Incompatible,Possible but odd,Incompatible,Incompatible,Possible but odd,Incompatible,Incompatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,NA,NA,NA,NA,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Incompatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
GROWTH CONDITIONS,Do you intend to irrigate and/or fertilize the plants?,Water supply without nutrient supply,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Fully compatible,Incompatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
